院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
东南大学,2024,陕西,理科,本科一批,619,5618,,15,32002
天津工业大学,2024,陕西,文科,本科一批,529,5697,,9,天津工业大学
海南大学,2024,陕西,文科,本科一批,529,5729,,52,海南大学
上海对外经贸大学,2024,陕西,文科,本科一批,529,5750,,5,上海对外经贸大学
浙江警察学院,2024,陕西,文科,本科提前批A段,529,5751,,,浙江警察学院
东北林业大学,2024,陕西,文科,本科一批,528,5805,,12,东北林业大学
新疆大学,2024,陕西,文科,本科一批,528,5808,,15,新疆大学
南京工业大学,2024,陕西,文科,本科一批,528,5827,,8,南京工业大学
西南交通大学,2024,陕西,文科,本科一批,528,5859,,3,西南交通大学
黑龙江中医药大学,2024,陕西,文科,本科一批,528,5887,,7,黑龙江中医药大学
西安财经大学,2024,陕西,文科,本科一批,527,5919,,15,西安财经大学
太原理工大学,2024,陕西,文科,本科一批,527,5920,,33,太原理工大学
哈尔滨工业大学（威海）,2024,陕西,理科,本科一批,617,5930,,27,哈尔滨工业大学（威海
东北财经大学,2024,陕西,文科,本科一批,527,5967,,3,东北财经大学
哈尔滨工程大学,2024,陕西,理科,本科一批,617,5978,,2,哈尔滨工程大学
天津财经大学,2024,陕西,文科,本科一批,527,6015,,16,天津财经大学
东北农业大学,2024,陕西,文科,本科一批,526,6029,,8,东北农业大学
哈尔滨工业大学,2024,陕西,理科,本科一批,616,6036,,30,哈尔滨工业大学
中南财经政法大学,2024,陕西,文科,本科一批,526,6061,,8,中南财经政法大学
大连理工大学,2024,陕西,理科,本科一批,616,6063,,15,大连理工大学
西南石油大学,2024,陕西,文科,本科一批,526,6088,,18,西南石油大学
西南民族大学,2024,陕西,文科,本科一批,526,6099,,8,西南民族大学
哈尔滨工程大学,2024,陕西,理科,本科一批,616,6123,,2,哈尔滨工程大学
北京电影学院,2024,陕西,文科,本科一批,526,6156,,5,北京电影学院
河南大学,2024,陕西,文科,本科一批,526,6158,,27,河南大学
云南警官学院,2024,陕西,文科,本科提前批A段,526,6171,,,云南警官学院
江西财经大学,2024,陕西,文科,本科一批,525,6184,,19,江西财经大学
湖北大学,2024,陕西,文科,本科一批,525,6231,,10,湖北大学
网络空间部队信息工程大学,2024,陕西,理科,本科提前批A段,614,6463,,,网络空间部队信息工程
北京电子科技学院,2024,陕西,理科,本科提前批,614,6463,,,北京电子科技学院
杭州电子科技大学,2024,陕西,文科,本科一批,523,6497,,2,杭州电子科技大学
南京航空航天大学,2024,陕西,理科,本科一批,613,6525,,179,32003
西北政法大学,2024,陕西,文科,本科一批,523,6555,,87,西北政法大学
北京第二外国语学院,2024,陕西,文科,本科一批,523,6584,,11,北京第二外国语学院
山东大学,2024,陕西,理科,本科一批,612,6669,,95,山东大学
厦门大学,2024,陕西,理科,本科一批,612,6707,,17,厦门大学
宁夏大学,2024,陕西,文科,本科一批,521,6805,,46,宁夏大学
中国民航大学,2024,陕西,文科,本科一批,521,6867,,25,中国民航大学
北方工业大学,2024,陕西,文科,本科一批,521,6908,,9,北方工业大学
南京理工大学,2024,陕西,理科,本科一批,611,6922,,122,南京理工大学
西北政法大学,2024,陕西,文科,本科一批,520,6960,,1093,西北政法大学
广东工业大学,2024,陕西,文科,本科一批,520,6965,,10,广东工业大学
四川师范大学,2024,陕西,文科,本科一批,520,6973,,28,四川师范大学
中国政法大学,2024,陕西,理科,本科一批,610,7012,,4,10006
北京信息科技大学,2024,陕西,文科,本科一批,520,7029,,5,北京信息科技大学
武汉科技大学,2024,陕西,文科,本科一批,520,7057,,13,武汉科技大学
对外经济贸易大学,2024,陕西,理科,本科一批,610,7082,,19,10009
中国社会科学院大学,2024,陕西,理科,本科一批,610,7109,,4,中国社会科学院大学
延安大学,2024,陕西,文科,本科提前批C段,520,7136,,73,延安大学
北京邮电大学,2024,陕西,理科,本科一批,609,7235,,19,北京邮电大学
延边大学,2024,陕西,文科,本科一批,519,7243,,13,延边大学
北京科技大学,2024,陕西,理科,本科一批,609,7324,,86,北京科技大学
西南大学,2024,陕西,文科,本科一批,518,7325,,5,西南大学
重庆大学,2024,陕西,理科,本科一批,609,7360,,,重庆大学
北京交通大学,2024,陕西,理科,本科一批,608,7362,,54,北京交通大学
福州大学,2024,陕西,文科,本科一批,518,7368,,4,福州大学
山东大学（威海）,2024,陕西,理科,本科一批,608,7402,,26,山东大学（威海）
哈尔滨工程大学,2024,陕西,理科,本科一批,608,7425,,42,哈尔滨工程大学
湖南大学,2024,陕西,理科,本科一批,608,7448,,105,湖南大学
中国矿业大学,2024,陕西,文科,本科一批,517,7519,,3,中国矿业大学
南方医科大学,2024,陕西,文科,本科一批,517,7536,,25,南方医科大学
西北政法大学,2024,陕西,文科,本科一批,517,7580,,71,西北政法大学
北京交通大学,2024,陕西,理科,本科一批,608,7584,,,北京交通大学
北京理工大学,2024,陕西,理科,本科一批,607,7591,,2,10005
武汉工程大学,2024,陕西,文科,本科一批,517,7639,,6,武汉工程大学
湖北工业大学,2024,陕西,文科,本科一批,517,7643,,6,湖北工业大学
北京外国语大学,2024,陕西,理科,本科一批,607,7686,,5,10007
湘潭大学,2024,陕西,文科,本科一批,516,7698,,98,湘潭大学
延安大学,2024,陕西,文科,本科一批,516,7743,,8,延安大学
南京航空航天大学,2024,陕西,理科,本科一批,606,7766,,20,32003
苏州大学,2024,陕西,理科,本科一批,606,7819,,30,32004
上海海关学院,2024,陕西,理科,本科提前批C段,606,7941,,,上海海关学院
华侨大学,2024,陕西,文科,本科一批,515,7985,,22,华侨大学
长江大学,2024,陕西,文科,本科一批,515,8001,,,长江大学
中央司法警官学院,2024,陕西,文科,本科提前批A段,515,8001,,,中央司法警官学院
燕山大学,2024,陕西,文科,本科一批,514,8008,,16,燕山大学
哈尔滨工业大学（威海）,2024,陕西,理科,本科一批,605,8106,,3,哈尔滨工业大学（威海
东北大学,2024,陕西,理科,本科一批,604,8190,,103,东北大学
渭南师范学院,2024,陕西,文科,本科提前批C段,514,8195,,25,渭南师范学院
首都医科大学,2024,陕西,理科,本科一批,604,8258,,17,首都医科大学
吉林大学,2024,陕西,理科,本科一批,604,8322,,204,吉林大学
华中科技大学,2024,陕西,理科,本科一批,603,8388,,15,华中科技大学
宁波诺丁汉大学,2024,陕西,文科,本科一批,512,8438,,14,宁波诺丁汉大学
江西师范大学,2024,陕西,文科,本科一批,512,8442,,22,江西师范大学
中央财经大学,2024,陕西,理科,本科一批,603,8474,,42,10008
中央美术学院,2024,陕西,文科,本科一批,512,8505,,1,中央美术学院
济南大学,2024,陕西,文科,本科一批,512,8527,,14,济南大学
华北电力大学保定校区,2024,陕西,理科,本科一批,602,8614,,72,华北电力大学保定校区
上海大学,2024,陕西,理科,本科一批,602,8615,,9,上海大学
中国农业大学,2024,陕西,理科,本科一批,602,8691,,62,中国农业大学
中国海洋大学,2024,陕西,理科,本科一批,602,8773,,46,中国海洋大学
南京邮电大学,2024,陕西,理科,本科一批,601,8792,,54,南京邮电大学
石河子大学,2024,陕西,文科,本科一批,510,8860,,18,石河子大学
华东理工大学,2024,陕西,理科,本科一批,600,9003,,75,31006
深圳技术大学,2024,陕西,文科,本科一批,509,9040,,15,深圳技术大学
东北大学秦皇岛分校,2024,陕西,理科,本科一批,600,9047,,41,东北大学秦皇岛分校
北京工业大学,2024,陕西,理科,本科一批,600,9108,,10,北京工业大学
西交利物浦大学,2024,陕西,文科,本科一批,509,9162,,56,西交利物浦大学
湖南中医药大学,2024,陕西,文科,本科一批,509,9163,,4,湖南中医药大学
兰州大学,2024,陕西,理科,本科一批,600,9195,,128,兰州大学
中国政法大学,2024,陕西,理科,本科一批,599,9256,,17,10006
陕西中医药大学,2024,陕西,文科,本科一批,508,9280,,15,陕西中医药大学
重庆工商大学,2024,陕西,文科,本科一批,508,9290,,10,重庆工商大学
暨南大学,2024,陕西,文科,本科一批,508,9313,,12,44003
广东外语外贸大学,2024,陕西,文科,本科一批,508,9339,,29,广东外语外贸大学
兰州理工大学,2024,陕西,文科,本科一批,508,9389,,6,兰州理工大学
中国传媒大学,2024,陕西,理科,本科一批,598,9421,,22,中国传媒大学
商洛学院,2024,陕西,文科,本科提前批C段,508,9438,,,商洛学院
宝鸡文理学院,2024,陕西,文科,本科提前批C段,508,9438,,48,宝鸡文理学院
中南大学,2024,陕西,理科,本科一批,598,9447,,158,中南大学
中国人民解放军空军军医大学,2024,陕西,理科,本科一批,598,9482,,48,中国人民解放军空军军
江苏科技大学,2024,陕西,文科,本科一批,507,9491,,8,江苏科技大学
华北电力大学保定校区,2024,陕西,理科,本科一批,598,9515,,9,华北电力大学保定校区
武汉理工大学,2024,陕西,理科,本科一批,598,9528,,110,武汉理工大学
北京师范大学,2024,陕西,理科,本科一批,598,9535,,5,北京师范大学
陕西中医药大学,2024,陕西,文科,本科一批,507,9601,,20,陕西中医药大学
东华理工大学,2024,陕西,文科,本科一批,507,9646,,6,东华理工大学
青海大学,2024,陕西,文科,本科一批,506,9673,,18,青海大学
贵州大学,2024,陕西,文科,本科一批,506,9693,,2,贵州大学
常州大学,2024,陕西,文科,本科一批,506,9837,,8,常州大学
云南警官学院,2024,陕西,文科,本科提前批A段,506,9860,,,云南警官学院
